"name","faculty_id","code"
"Institute of History and Archaeology",1,"HVAJ"
"Institute of Estonian and General Linguistics",1,"HVEE"
"Institute of Philosophy and Semiotics",1,"HVFI"
"Dean's Office of Faculty of Arts and Humanities",1,"HVHV"
"Institute of Cultural Research",1,"HVKU"
"College of Foreign Languages and Cultures",1,"HVLC"
"School of Theology and Religious Studies",1,"HVUS"
"Viljandi Culture Academy",1,"HVVK"
"Institute of Computer Science",4,"LTAT"
"Institute of Bioengineering",4,"LTBI"
"Institute of Physics",4,"LTFY"
"Institute of Genomics",4,"LTGI"
"Institute of Chemistry",4,"LTKT"
"Dean's Office of Faculty of Science and Technology",4,"LTLT"
"Estonian Marine Institute",4,"LTMI"
"Institute of Molecular and Cell Biology",4,"LTMR"
"Institute of Mathematics and Statistics",4,"LTMS"
"Institute of Ecology and Earth Sciences",4,"LTOM"
"Institute of Technology",4,"LTTI"
"Tartu Observatory",4,"LTTO"
"Institute of Biomedicine and Translational Medicine",3,"MVBS"
"Institute of Clinical Medicine",3,"MVCM"
"Institute of Pharmacy",3,"MVFA"
"Dean's Office of Faculty of Medicine",3,"MVMV"
"Institute of Family Medicine and Public Health",3,"MVPT"
"Institute of Sport Sciences and Physiotherapy",3,"MVSF"
"Institute of Dentistry",3,"MVST"
"Institute of Education",2,"SVHI"
"Johan Skytte Institute of Political Studies",2,"SVJS"
"School of Economics and Business Administration",2,"SVMJ"
"Narva College",2,"SVNC"
"School of Law",2,"SVOI"
"Pärnu College",2,"SVPC"
"Institute of Psychology",2,"SVPH"
"Dean's Office of Faculty of Social Sciences",2,"SVSV"
"Institute of Social Studies",2,"SVUH"
